,snapshots,dMx,dMy,dMz,eps_from_dMx,eps_from_dMy,eps_from_dMz
142,142.0,4.942979368076319,-3.052437458373787,-5.159603961896378,5.418588905857417,1.653440272149698,3.8028569102276375
143,143.0,5.277762831252797,-3.1509031828374505,-5.514080569965593,5.409790324326675,1.6549388212533902,3.8639792155490005
144,144.0,5.514080569965607,-3.3478346317647967,-5.730705163785682,5.404164099269149,1.6578317015044168,3.9289368021878017
145,145.0,5.730705163785689,-3.8204701091904174,-5.829170888249353,5.40151881896352,1.6648126072763358,3.9945112959994704
146,146.0,5.967022902498506,-4.234026151937843,-5.770091453571132,5.40225463266285,1.6759775026196213,4.056457641420629
147,147.0,6.577510394173267,-4.568809615114329,-5.494387425072846,5.413142655324448,1.6908547875323423,4.109390246001098
148,148.0,7.128918451169842,-5.021751947647209,-5.080831382325437,5.434118842392609,1.7114651457549093,4.150768113502592
149,149.0,7.719712797951839,-5.435307990394625,-4.568809615114336,5.466953873867384,1.737796658710269,4.179715504215246
150,150.0,8.152961985591993,-5.711012018892902,-4.096174137688715,5.508726507210668,1.7679309773584015,4.198523025345226
151,151.0,8.251427710055683,-6.1245680616403595,-3.7613906745122367,5.551411320976041,1.8045527400085226,4.210760785375886
152,152.0,8.664983752803078,-6.282113220782211,-3.426607211335753,5.602961226314051,1.8430998669906544,4.217142036243235
153,153.0,8.802835767052244,-6.597203539065963,-3.2493689073011325,5.656357338858011,1.886700289654037,4.220521742001798
154,154.0,9.03915350576506,-6.715362408422366,-2.9539717339101195,5.714208761943899,1.9314779841326848,4.219609602448059
155,155.0,9.236084954692412,-6.971373292027906,-2.4616431115917727,5.77548159605426,1.9802991755853658,4.2127616324498565
156,156.0,9.57086841786888,-6.912293857349706,-1.8905419097024776,5.84403971637541,2.0265830568957055,4.200523145933054
157,157.0,9.669334142332527,-6.93198700224243,-1.6345310260969619,5.913248661382052,2.0720209700841234,4.1864103935335795
158,158.0,10.338901068685477,-6.754748698207828,-1.2209749833495351,5.99991647543448,2.1127334705612295,4.169875504806838
159,159.0,10.575218807398297,-6.49873781460228,-1.2012818384567794,6.091284997885697,2.1475668010111146,4.15340186715839
160,160.0,10.732763966540162,-6.223033786103978,-1.142202403778601,6.1848959356330715,2.1766536082300374,4.136798893484321
161,161.0,10.929695415467517,-5.848864033142029,-1.260361273135004,6.2819891382408475,2.198978714414218,4.120956321459904
162,162.0,11.008467995038444,-5.592853149536497,-1.3391338527059453,6.378798208772198,2.2169538602979983,4.105685029859249
163,163.0,11.087240574609396,-5.297455976145477,-1.2997475629204693,6.475335691648428,2.2304810817135534,4.090342685373708
164,164.0,11.16601315418033,-5.021751947647209,-1.4179064322768724,6.57161379509609,2.2402765873182067,4.075784193165109
165,165.0,11.540182907142277,-4.686968484470738,-1.2997475629204729,6.677090588439567,2.2461580563931784,4.060717825722861
166,166.0,12.111284109031576,-4.4506507457578985,-1.319440707813218,6.798628190744639,2.249561206219631,4.045891326972933
167,167.0,12.209749833495252,-4.115867282581442,-1.0634298242076738,6.920235202869501,2.2500059207374656,4.030020843762853
168,168.0,12.544533296671744,-3.9780152683322973,-1.1028161139931143,7.050115895987323,2.249338980858182,4.014474999783804
169,169.0,12.60361273134994,-3.5053797909066855,-1.220974983349528,7.178597141996716,2.2457023263726787,3.99960320974125
170,170.0,12.78085103538454,-3.288755197086602,-1.0043503895294528,7.309845150668333,2.2410267865508025,3.9839713395449388
171,171.0,12.524840151778989,-3.091823748159262,-0.925577809958515,7.42885044084181,2.235591747188545,3.968217989770358
172,172.0,12.071897819246118,-2.9342785890173864,-0.7089532161384433,7.52991839853309,2.2296810621552696,3.9519808693579
173,173.0,12.229442978387972,-2.7570402849827813,-0.33478346317647834,7.633240364033747,2.2233556658132354,3.9352149624765818
174,174.0,11.756807500962335,-2.77673342987553,0.019693144892727332,7.719235331467129,2.2171400332898616,3.918443435768673
175,175.0,11.77650064585508,-2.638881415626381,0.45294233253288496,7.8034364115948485,2.2106978898965024,3.9022383720600833
176,176.0,11.934045804996966,-2.304097952449888,0.7483395059239015,7.889974532246112,2.203912913251385,3.886848753331735
177,177.0,11.934045804996948,-2.1465527933080337,1.1225092588858665,7.97414398295401,2.197149879032361,3.8728619901966224
178,178.0,11.579569196927729,-1.7723830403460696,0.9452709548512566,8.045872527807461,2.1906871824700427,3.8583643321541885
179,179.0,11.559876052035012,-1.417906432276844,1.083122969100387,8.115037077312603,2.1849568097704624,3.844495405742836
180,180.0,11.067547429716662,-1.201281838456775,1.181588693564077,8.169238535753397,2.179896123590062,3.831140614832462
181,181.0,10.67368453186197,-1.0240435344221686,1.575451591418748,8.212134102762926,2.17549427453035,3.819758465670072
182,182.0,10.594911952291028,-0.7286463610311547,1.654224170989675,8.251813962874134,2.1723798605881948,3.8088856886257227
183,183.0,10.575218807398304,-0.4923286223183361,2.0087007790588878,8.289752725676827,2.1704774407742997,3.8002612843245056
184,184.0,10.516139372720104,-0.23631773871277328,2.245018517771694,8.32510792536453,2.1700633237473634,3.793333742041975
185,185.0,10.49644622782736,0.13785201424916238,2.619188270733666,8.35884360678796,2.172182087761001,3.7894041672421426
